run_id,requirement_id,principle,source_row,requirement,condition,configuration,repetition,model,started_at,elapsed_seconds,initial_title,initial_description,initial_work_items,final_title,final_description,final_work_items,revision_occurred,status,review_reason,internal_clarity,internal_completeness,internal_actionability,internal_testability,internal_faithfulness,api_response_ids,saved_run_path
ABL-P03__eai_usg__3,ABL-P03,Privacy,1046,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:13:59.666775+00:00,13.188,Privacy-Compliant Data Access,"As a user, I want my data handled in accordance with data privacy regulations and accessed only by relevant personnel, so that my privacy is protected.","[""Ensure that data handling complies with applicable data privacy regulations."", ""Grant data access only to relevant personnel.""]",Privacy-Compliant Data Access,"As a user, I want my data handled in accordance with data privacy regulations and accessed only by relevant personnel, so that my privacy is protected.","[""Ensure that data handling complies with applicable data privacy regulations."", ""Grant data access only to relevant personnel.""]",False,passed,,5,5,4,4,5,"[""resp_050abe84432a50a5006aa72e37d36887d2a9d8dd6d8f542dcc"", ""resp_0a52cfd7c10d347d006aa72e3b635087d28c182bc0974b68cb"", ""resp_0054dcb95bf78461006aa72e3d64d887d28c5fe678c2248926""]",outputs/runs/20260913T231412Z_ABL-P03_full.json
ABL-F01__same_model_single_pass__1,ABL-F01,Freedom & Autonomy,824,The system shall allow the user to change the password.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:14:12.855757+00:00,1.506,Password Change Capability,"As a user, I want to change my password so that I can update my account credentials.","[""The system shall allow the user to change their password.""]",Password Change Capability,"As a user, I want to change my password so that I can update my account credentials.","[""The system shall allow the user to change their password.""]",False,not_validated,,,,,,,"[""resp_0940bba2477af5d8006aa72e45032c87d297977e7deefc3dd1""]",outputs/runs/20260913T231414Z_ABL-F01_single_pass.json
ABL-F01__eai_usg__3,ABL-F01,Freedom & Autonomy,824,The system shall allow the user to change the password.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:14:14.363007+00:00,23.756,Password Change,"As a user, I want to change my password so that I can maintain control over access to my account.","[""The system shall allow users to change their password.""]",Password Change,"As a user, I want to change my password so that I can use a different password.","[""The system shall allow users to change their password.""]",True,requires_human_review,unresolved_quality_issue,4,3,4,4,5,"[""resp_0ffeafde0c8b9f54006aa72e4684d087d2b4baacc664f6a86f"", ""resp_0df87c01e6c890b6006aa72e49a24887d2b150e06cb4e3db67"", ""resp_0ae69228dd65bd4c006aa72e4b705887d29d0c3df9130a186d"", ""resp_01771ca0527cde8b006aa72e51adb887d2b3ef8da4066be0e0"", ""resp_036d579089e7e120006aa72e563af887d280a465615e606d3a""]",outputs/runs/20260913T231438Z_ABL-F01_full.json
ABL-J03__same_model_single_pass__1,ABL-J03,Justice & Equity,296,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:14:38.119525+00:00,1.842,Emerging-Market Language Localization,"As a user in an emerging target market, I want the product to be available in my market's language so that I can use it in my preferred language.","[""Future releases shall translate the product into foreign languages other than the languages of the initial target-market countries."", ""For each emerging target market, the product shall be configured for that market's language within no more than five days.""]",Emerging-Market Language Localization,"As a user in an emerging target market, I want the product to be available in my market's language so that I can use it in my preferred language.","[""Future releases shall translate the product into foreign languages other than the languages of the initial target-market countries."", ""For each emerging target market, the product shall be configured for that market's language within no more than five days.""]",False,not_validated,,,,,,,"[""resp_0c175c70097880c5006aa72e5e4c7887d28859c6cf56c895e3""]",outputs/runs/20260913T231439Z_ABL-J03_single_pass.json
ABL-J02__eai_usg__1,ABL-J02,Justice & Equity,736,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:14:39.962148+00:00,31.657,Standards-Compatible Web Access,"As a user, I want to use the Web interface through major Web browsers in a variety of environments, so that I can access it across my browsing context.","[""The Web interface shall be compatible with relevant Web standards."", ""The Web interface shall be usable through all major Web browsers in a wide variety of environments.""]",Standards-Compatible Web Access,"As a user, I want to use the Web interface through major Web browsers in a variety of environments, so that I can use it in my chosen browsing environment.","[""The Web interface shall be compatible with relevant Web standards."", ""The Web interface shall be usable through all major Web browsers in a wide variety of environments.""]",True,requires_human_review,unresolved_quality_issue,4,4,4,3,5,"[""resp_015eb1755ea44cae006aa72e601c5487d2928e522f5e503ce5"", ""resp_0614b9e0a997c6ff006aa72e63add887d2a874158910011be2"", ""resp_061a62041e42bf6c006aa72e65f4c887d2842d69cceea7434c"", ""resp_0df9c2c275357930006aa72e713e9887d2a719d8179d8c9c9e"", ""resp_0613927cd3b93325006aa72e75aa8487d2b366338797c5ba74""]",outputs/runs/20260913T231511Z_ABL-J02_full.json
ABL-P03__same_model_single_pass__1,ABL-P03,Privacy,1046,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:15:11.619527+00:00,1.828,Privacy-Compliant Data Access,"As a user, I want my data handled in accordance with data privacy regulations, so that access is limited to personnel relevant to its use.","[""The system shall comply with applicable data privacy regulations."", ""The system shall grant access to data only to relevant personnel.""]",Privacy-Compliant Data Access,"As a user, I want my data handled in accordance with data privacy regulations, so that access is limited to personnel relevant to its use.","[""The system shall comply with applicable data privacy regulations."", ""The system shall grant access to data only to relevant personnel.""]",False,not_validated,,,,,,,"[""resp_0d4ca44559488c25006aa72e7fc7ac87d2808a2bf2cb85b9ec""]",outputs/runs/20260913T231513Z_ABL-P03_single_pass.json
ABL-P01__same_model_single_pass__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:15:13.447651+00:00,1.741,Player Identity Protection,"As a player, I want other players' identities to remain undisclosed so that I can participate without being identifiable to them.","[""The product shall not provide players access to information that might reveal another player's identity.""]",Player Identity Protection,"As a player, I want other players' identities to remain undisclosed so that I can participate without being identifiable to them.","[""The product shall not provide players access to information that might reveal another player's identity.""]",False,not_validated,,,,,,,"[""resp_0bdbfc0a991bd512006aa72e81a08487d2ab954e946ab5408c""]",outputs/runs/20260913T231515Z_ABL-P01_single_pass.json
ABL-P01__eai_usg__2,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:15:15.189850+00:00,13.902,Player Identity Protection,"As a player, I want to be unable to access information that might reveal another player's identity, so that I can remain anonymous to other players.","[""Players shall not be provided access to information that might reveal another player's identity.""]",Player Identity Protection,"As a player, I want to be unable to access information that might reveal another player's identity, so that I can remain anonymous to other players.","[""Players shall not be provided access to information that might reveal another player's identity.""]",False,passed,,5,5,4,4,5,"[""resp_04afb97661262d9a006aa72e835bdc87d28d0837846e73447b"", ""resp_0c88785ad4d439f9006aa72e871c4c87d29922db63ce6dde63"", ""resp_0297373b57de208a006aa72e88f48887d2b0819bf80dbbff50""]",outputs/runs/20260913T231529Z_ABL-P01_full.json
ABL-J02__same_model_single_pass__3,ABL-J02,Justice & Equity,736,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:15:29.092761+00:00,1.834,Cross-Browser Web Interface Compatibility,"As a user, I want to use the Web interface through major Web browsers in varied environments so that I can access it using my available browser and environment.","[""Ensure the Web interface is compatible with Web standards."", ""Ensure the Web interface is usable via all major Web browsers in a wide variety of environments.""]",Cross-Browser Web Interface Compatibility,"As a user, I want to use the Web interface through major Web browsers in varied environments so that I can access it using my available browser and environment.","[""Ensure the Web interface is compatible with Web standards."", ""Ensure the Web interface is usable via all major Web browsers in a wide variety of environments.""]",False,not_validated,,,,,,,"[""resp_01a58d22fbbd54d7006aa72e91417887d286ec2362259d1b22""]",outputs/runs/20260913T231530Z_ABL-J02_single_pass.json
ABL-T01__same_model_single_pass__3,ABL-T01,Transparency,252,The audit report shall be displayed to the user.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:15:30.927407+00:00,1.302,Audit Report Availability,"As a user, I want to view the audit report so that I can examine its findings.","[""Display the audit report to the user.""]",Audit Report Availability,"As a user, I want to view the audit report so that I can examine its findings.","[""Display the audit report to the user.""]",False,not_validated,,,,,,,"[""resp_0322aa189ebbd9cc006aa72e9316fc87d2a29df11b6a32de86""]",outputs/runs/20260913T231532Z_ABL-T01_single_pass.json
ABL-T03__same_model_single_pass__2,ABL-T03,Transparency,1044,Documentation and logs of data sources for Traceability.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:15:32.230531+00:00,1.495,Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace data provenance.","[""Provide documentation of data sources."", ""Maintain logs of data sources.""]",Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace data provenance.","[""Provide documentation of data sources."", ""Maintain logs of data sources.""]",False,not_validated,,,,,,,"[""resp_074aacb1cb1d4ab2006aa72e94668087d28619bbd1051dc86e""]",outputs/runs/20260913T231533Z_ABL-T03_single_pass.json
ABL-T02__eai_usg__2,ABL-T02,Transparency,967,The system shall display and embed in each message a date/timestamp of when the message was sent.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:15:33.726223+00:00,22.437,Message Sent-Time Information,"As a user, I want each message to show when it was sent so that I can determine its sent time.","[""Each message shall display a date/timestamp indicating when the message was sent."", ""Each message shall embed a date/timestamp indicating when the message was sent.""]",Message Sent-Time Information,"As a user, I want each message to show when it was sent so that I can determine its place in the message sequence.","[""Each message shall display a date/timestamp indicating when the message was sent."", ""Each message shall embed a date/timestamp indicating when the message was sent.""]",True,requires_human_review,unresolved_quality_issue,5,5,5,5,5,"[""resp_0b49ca710a68a3c9006aa72e95e42887d2b617ed8af6ca11ec"", ""resp_0789824689b2e68a006aa72e998c1487d2bf03f2b860980188"", ""resp_090b6a00a1a0f65b006aa72e9b7a0487d29d1de0f31b1c684a"", ""resp_0d92f58c8f02c2bf006aa72ea3cad487d2877717fe29050ae3"", ""resp_03feb961cca9a4ea006aa72ea6e75c87d2938f2b2912f9d346""]",outputs/runs/20260913T231556Z_ABL-T02_full.json
ABL-P02__same_model_single_pass__1,ABL-P02,Privacy,700,The user must be able to set an option to hide information based on who has tagged it.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:15:56.164310+00:00,1.776,Tagger-Based Information Hiding,"As a user, I want to configure whether information is hidden based on who tagged it, so that I can tailor the information I see.","[""Provide an option that allows the user to hide information according to the person who tagged it.""]",Tagger-Based Information Hiding,"As a user, I want to configure whether information is hidden based on who tagged it, so that I can tailor the information I see.","[""Provide an option that allows the user to hide information according to the person who tagged it.""]",False,not_validated,,,,,,,"[""resp_07a25269b63c9c86006aa72eac571087d285bf10678e383dee""]",outputs/runs/20260913T231557Z_ABL-P02_single_pass.json
ABL-F03__eai_usg__3,ABL-F03,Freedom & Autonomy,701,The user must be able to add photos from his/her photo library to his/her medical record.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:15:57.941549+00:00,23.932,Add Personal Photos to Medical Records,"As a user, I want to add photos from my photo library to my medical record so that I can include personal images in my record.","[""Users can add photos from their own photo library to their medical record.""]",Add Personal Photos to Medical Records,"As a user, I want to add photos from my photo library to my medical record so that I can document my medical information visually.","[""Users can add photos from their own photo library to their medical record.""]",True,passed,,5,5,4,4,5,"[""resp_0806cc0aed628fc0006aa72eae1db887d28f8c7e9f74e41323"", ""resp_0735a7168ea50187006aa72eb1e52487d295924589dc40afcb"", ""resp_0a98f28422e18565006aa72eb3a73887d2bab78d5bf4aeb842"", ""resp_01bb6eeb79fb80fc006aa72ebbba6887d2aa6a4839c43dd921"", ""resp_0912bd2571c7def3006aa72ec0452087d290c22add2759fe6b""]",outputs/runs/20260913T231621Z_ABL-F03_full.json
ABL-J02__eai_usg__3,ABL-J02,Justice & Equity,736,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:16:21.875136+00:00,41.130,Cross-Browser Web Interface Usability,"As a user, I want to use the Web interface through all major Web browsers in a wide variety of environments, so that I can access it in my chosen browsing context.","[""The Web interface shall be compatible with applicable standards."", ""The Web interface shall be usable through all major Web browsers in a wide variety of environments.""]",Cross-Browser Web Interface Usability,"As a user, I want to use the Web interface through all major Web browsers in a wide variety of environments, so that I can access its functionality.","[""The Web interface shall be compatible with applicable standards."", ""The Web interface shall be usable through all major Web browsers in a wide variety of environments.""]",True,passed,,5,5,4,4,5,"[""resp_054a149c542e0bce006aa72ec7982087d2a8f025afaf4ace4e"", ""resp_0685b187c3a6f01d006aa72eccf7f087d2b70369700f220c75"", ""resp_02f6cf73b41d2722006aa72ecf653887d2b20ac49a4a75822c"", ""resp_01f878ea5ecef4dd006aa72ee46e0c87d2ae82f577de9570e1"", ""resp_0da689af26c33671006aa72ee85e7087d29c8d30331c68c9d2""]",outputs/runs/20260913T231703Z_ABL-J02_full.json
ABL-T02__same_model_single_pass__1,ABL-T02,Transparency,967,The system shall display and embed in each message a date/timestamp of when the message was sent.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:17:03.006501+00:00,1.855,Message Send Timestamps,"As a user, I want each message to show when it was sent, so that I can determine its timing.","[""Display the date and timestamp at which each message was sent."", ""Embed the send date and timestamp in each message.""]",Message Send Timestamps,"As a user, I want each message to show when it was sent, so that I can determine its timing.","[""Display the date and timestamp at which each message was sent."", ""Embed the send date and timestamp in each message.""]",False,not_validated,,,,,,,"[""resp_0a6e117fdcc0c968006aa72eef398087d28ac77ddc60b5a89d""]",outputs/runs/20260913T231704Z_ABL-T02_single_pass.json
ABL-F03__same_model_single_pass__1,ABL-F03,Freedom & Autonomy,701,The user must be able to add photos from his/her photo library to his/her medical record.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:17:04.861349+00:00,3.176,Add Photo-Library Images to Medical Records,"As a user, I want to add photos from my photo library to my medical record, so that relevant images are included in my health information.","[""Allow the user to add photos from their photo library to their medical record.""]",Add Photo-Library Images to Medical Records,"As a user, I want to add photos from my photo library to my medical record, so that relevant images are included in my health information.","[""Allow the user to add photos from their photo library to their medical record.""]",False,not_validated,,,,,,,"[""resp_043d2e4bb2be3d58006aa72ef15f4c87d29418c7a02c0d90f8""]",outputs/runs/20260913T231708Z_ABL-F03_single_pass.json
ABL-P03__eai_usg__2,ABL-P03,Privacy,1046,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:17:08.038636+00:00,11.347,Privacy-Compliant Data Access,"As a data subject, I want access to my data restricted to relevant personnel so that my privacy is protected.","[""Comply with applicable data-privacy regulations."", ""Grant data access only to relevant personnel.""]",Privacy-Compliant Data Access,"As a data subject, I want access to my data restricted to relevant personnel so that my privacy is protected.","[""Comply with applicable data-privacy regulations."", ""Grant data access only to relevant personnel.""]",False,passed,,5,5,4,4,5,"[""resp_065934df31ce3935006aa72ef439a887d2aad55697a2fe1e11"", ""resp_076beca7feb0a247006aa72ef841ec87d2bc7e4b17f37e86e0"", ""resp_0dd9785aec7940c1006aa72efa349487d28894894974b8f319""]",outputs/runs/20260913T231719Z_ABL-P03_full.json
ABL-T01__same_model_single_pass__1,ABL-T01,Transparency,252,The audit report shall be displayed to the user.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:17:19.386794+00:00,1.541,Audit Report Visibility,"As a user, I want to view the audit report so that I can examine its contents.","[""Display the audit report to the user.""]",Audit Report Visibility,"As a user, I want to view the audit report so that I can examine its contents.","[""Display the audit report to the user.""]",False,not_validated,,,,,,,"[""resp_0bc2098a52d4e1cf006aa72eff903087d28466610e839f3bcd""]",outputs/runs/20260913T231720Z_ABL-T01_single_pass.json
ABL-J01__eai_usg__2,ABL-J01,Justice & Equity,970,The system shall provide multi language support.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:17:20.928620+00:00,14.088,Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it using a language I use.","[""The system shall support multiple languages.""]",Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it using a language I use.","[""The system shall support multiple languages.""]",False,requires_human_review,unresolved_quality_issue,5,5,4,3,5,"[""resp_0f9e8f884ada7941006aa72f011bc887d2b66a8c19b95acb40"", ""resp_0f73cd96b3ee20e4006aa72f04552c87d2bf2897b9a16a9ea4"", ""resp_035ad047d8ebcbc0006aa72f05dd1c87d287ede773fe409e75""]",outputs/runs/20260913T231735Z_ABL-J01_full.json
ABL-T02__same_model_single_pass__2,ABL-T02,Transparency,967,The system shall display and embed in each message a date/timestamp of when the message was sent.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:17:35.017906+00:00,1.792,Message Sent Timestamp,"As a user, I want each message to show when it was sent so that I can determine its timing.","[""Display a date/timestamp in each message indicating when the message was sent."", ""Embed the sent date/timestamp in each message.""]",Message Sent Timestamp,"As a user, I want each message to show when it was sent so that I can determine its timing.","[""Display a date/timestamp in each message indicating when the message was sent."", ""Embed the sent date/timestamp in each message.""]",False,not_validated,,,,,,,"[""resp_0dcf935ef012a388006aa72f0f346c87d29775960f2099856d""]",outputs/runs/20260913T231736Z_ABL-T02_single_pass.json
ABL-J01__same_model_single_pass__1,ABL-J01,Justice & Equity,970,The system shall provide multi language support.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:17:36.810527+00:00,1.359,Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it in my preferred language.","[""The system shall provide support for multiple languages.""]",Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it in my preferred language.","[""The system shall provide support for multiple languages.""]",False,not_validated,,,,,,,"[""resp_0cae0c1ae76d3c1f006aa72f10fc4087d2b31c6e46a7f6f960""]",outputs/runs/20260913T231738Z_ABL-J01_single_pass.json
ABL-T02__eai_usg__3,ABL-T02,Transparency,967,The system shall display and embed in each message a date/timestamp of when the message was sent.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:17:38.208257+00:00,11.397,Message Sent Timestamps,"As a user, I want each message to include a displayed sent date/timestamp so that I can determine when it was sent.","[""Each message shall embed a date/timestamp representing when the message was sent."", ""Each message shall display the embedded sent date/timestamp.""]",Message Sent Timestamps,"As a user, I want each message to include a displayed sent date/timestamp so that I can determine when it was sent.","[""Each message shall embed a date/timestamp representing when the message was sent."", ""Each message shall display the embedded sent date/timestamp.""]",False,passed,,5,5,5,5,5,"[""resp_0ebcc83fad1d1c64006aa72f1260fc87d2a5d1122d5d1f4280"", ""resp_07036271e29f8e2d006aa72f16256087d2882a9aad5e0dbae8"", ""resp_0fa1d0988d0f21c6006aa72f18017887d29891fd889ed8eac7""]",outputs/runs/20260913T231749Z_ABL-T02_full.json
ABL-F02__eai_usg__3,ABL-F02,Freedom & Autonomy,858,The system shall allow user to update the profile information.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:17:49.605716+00:00,11.246,Profile Information Updates,"As a user, I want to update my profile information so that I can keep it accurate.","[""Users can update their profile information.""]",Profile Information Updates,"As a user, I want to update my profile information so that I can keep it accurate.","[""Users can update their profile information.""]",False,passed,,5,5,4,4,5,"[""resp_01d22cb3b9b58194006aa72f1dc01887d2b88ff86eee756910"", ""resp_0607f5a384d63596006aa72f205e9887d2936581ca20c039bb"", ""resp_01c2e5e2b357bab5006aa72f22110087d2861aca96aedb7efb""]",outputs/runs/20260913T231800Z_ABL-F02_full.json
ABL-P03__same_model_single_pass__2,ABL-P03,Privacy,1046,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:18:00.852931+00:00,1.555,Privacy-Compliant Data Access,"As a user, I want my data to be handled in accordance with data privacy regulations so that my privacy is protected.","[""The system shall comply with applicable data privacy regulations."", ""The system shall grant access to data only to relevant personnel.""]",Privacy-Compliant Data Access,"As a user, I want my data to be handled in accordance with data privacy regulations so that my privacy is protected.","[""The system shall comply with applicable data privacy regulations."", ""The system shall grant access to data only to relevant personnel.""]",False,not_validated,,,,,,,"[""resp_0c1bed1cc76fae0e006aa72f29066c87d28145a88d48ae4194""]",outputs/runs/20260913T231802Z_ABL-P03_single_pass.json
ABL-J01__same_model_single_pass__2,ABL-J01,Justice & Equity,970,The system shall provide multi language support.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:18:02.408200+00:00,1.222,Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it in my preferred language.","[""The system shall provide support for multiple languages.""]",Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it in my preferred language.","[""The system shall provide support for multiple languages.""]",False,not_validated,,,,,,,"[""resp_06a83441afca5266006aa72f2a8c3087d28524bb507258b704""]",outputs/runs/20260913T231803Z_ABL-J01_single_pass.json
ABL-T03__eai_usg__2,ABL-T03,Transparency,1044,Documentation and logs of data sources for Traceability.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:18:03.631144+00:00,12.525,Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace their provenance.","[""Provide documentation and logs of data sources to support their traceability.""]",Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace their provenance.","[""Provide documentation and logs of data sources to support their traceability.""]",False,requires_human_review,unresolved_quality_issue,5,5,4,3,5,"[""resp_09db1d17893f1671006aa72f2bc8a887d29f0f6621218080f9"", ""resp_0d03f845215f67c2006aa72f2f6a9087d288dc593df3c9749a"", ""resp_00cef6f685cfae2c006aa72f31c2e487d2913e48665e1d1ed3""]",outputs/runs/20260913T231816Z_ABL-T03_full.json
ABL-J01__eai_usg__1,ABL-J01,Justice & Equity,970,The system shall provide multi language support.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:18:16.157463+00:00,10.247,Multilingual Support,"As a user, I want to use the system in multiple languages so that I can access it in my language.","[""The system shall support multiple languages.""]",Multilingual Support,"As a user, I want to use the system in multiple languages so that I can access it in my language.","[""The system shall support multiple languages.""]",False,passed,,5,5,4,4,5,"[""resp_02d4f3216915bfdf006aa72f38544087d2a3f36afaace071e2"", ""resp_09df26e4ee903b0f006aa72f3b570487d296f7a5cb27032ef5"", ""resp_02a992fa7ac51eb5006aa72f3d610c87d2a175fe2f428fa6fc""]",outputs/runs/20260913T231826Z_ABL-J01_full.json
ABL-P02__eai_usg__2,ABL-P02,Privacy,700,The user must be able to set an option to hide information based on who has tagged it.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:18:26.405504+00:00,11.142,Tagger-Based Information Hiding,"As a user, I want to configure an option to hide information based on who tagged it, so that I can control which tagged information is shown to me.","[""Provide a user-configurable option to hide information."", ""Determine which information to hide based on the identity of the person who tagged it.""]",Tagger-Based Information Hiding,"As a user, I want to configure an option to hide information based on who tagged it, so that I can control which tagged information is shown to me.","[""Provide a user-configurable option to hide information."", ""Determine which information to hide based on the identity of the person who tagged it.""]",False,passed,,5,5,4,4,5,"[""resp_0c819b26bc6e8806006aa72f42960887d2a4e0dba94119ef5e"", ""resp_0146f428def23934006aa72f462f8087d2b58246afd121ade2"", ""resp_06e618eaffd37e5e006aa72f48497c87d2a1469e454ccad1ca""]",outputs/runs/20260913T231837Z_ABL-P02_full.json
ABL-F02__same_model_single_pass__2,ABL-F02,Freedom & Autonomy,858,The system shall allow user to update the profile information.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:18:37.548521+00:00,1.360,Profile Information Updates,"As a user, I want to update my profile information so that it reflects my current details.","[""The system shall allow users to update their profile information.""]",Profile Information Updates,"As a user, I want to update my profile information so that it reflects my current details.","[""The system shall allow users to update their profile information.""]",False,not_validated,,,,,,,"[""resp_0f4d12b0c6d5f2b3006aa72f4dc47087d29d81aa4313aa9867""]",outputs/runs/20260913T231838Z_ABL-F02_single_pass.json
ABL-T02__eai_usg__1,ABL-T02,Transparency,967,The system shall display and embed in each message a date/timestamp of when the message was sent.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:18:38.909534+00:00,26.202,Message Sent Timestamps,"As a user, I want each message to show when it was sent so that I can determine its sending time.","[""Each message shall display a date/timestamp indicating when it was sent."", ""Each message shall embed a date/timestamp indicating when it was sent.""]",Message Sent Timestamps,"As a user, I want each message to show when it was sent so that I can assess its chronological context.","[""Each message shall display a date/timestamp indicating when it was sent."", ""Each message shall embed a date/timestamp indicating when it was sent.""]",True,requires_human_review,unresolved_quality_issue,5,5,5,5,5,"[""resp_01018d4576acf733006aa72f4f11a087d281b77a29a0b7f284"", ""resp_05be078bd6e8ad94006aa72f52b19087d28b9c1c1f8115979c"", ""resp_08f170427c17659d006aa72f54db5c87d29cc4879212d3d4a4"", ""resp_02ed36abc4c5a76d006aa72f61e1e087d29deeba51c0692662"", ""resp_05b29bec74872ac5006aa72f63babc87d2a6c9a613f8864315""]",outputs/runs/20260913T231905Z_ABL-T02_full.json
ABL-F02__eai_usg__1,ABL-F02,Freedom & Autonomy,858,The system shall allow user to update the profile information.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:19:05.112122+00:00,10.621,Profile Information Updates,"As a user, I want to update profile information so that I can keep it current.","[""Users can update profile information.""]",Profile Information Updates,"As a user, I want to update profile information so that I can keep it current.","[""Users can update profile information.""]",False,passed,,5,5,4,4,5,"[""resp_047afb6957eea395006aa72f69452c87d2bb80726582dc817e"", ""resp_0b34de2fb6172c7c006aa72f6c58c887d2b549b6ef795a411e"", ""resp_0672307733b5d461006aa72f6e1d8487d2a045c7076f86a686""]",outputs/runs/20260913T231915Z_ABL-F02_full.json
ABL-F03__same_model_single_pass__3,ABL-F03,Freedom & Autonomy,701,The user must be able to add photos from his/her photo library to his/her medical record.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:19:15.735031+00:00,1.941,Add Library Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record so that I can include relevant visual information in it.","[""Users must be able to add photos from their photo library to their medical record.""]",Add Library Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record so that I can include relevant visual information in it.","[""Users must be able to add photos from their photo library to their medical record.""]",False,not_validated,,,,,,,"[""resp_028d80479b7064d3006aa72f73e79487d28777da428929cdee""]",outputs/runs/20260913T231917Z_ABL-F03_single_pass.json
ABL-F03__eai_usg__1,ABL-F03,Freedom & Autonomy,701,The user must be able to add photos from his/her photo library to his/her medical record.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:19:17.676783+00:00,23.445,Add Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record so that I can include them in my record.","[""The system shall allow the user to add photos from the user's photo library to the user's medical record.""]",Add Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record so that I can document visual information in my record.","[""The system shall allow the user to add photos from the user's photo library to the user's medical record.""]",True,passed,,5,5,4,4,5,"[""resp_0cf27a792bbc2dc5006aa72f75d83487d2b656836d1a733c83"", ""resp_0a1589b14c71108e006aa72f7a0bd487d2b04f1d797145f181"", ""resp_00e3ead25ce5ba56006aa72f7c1ef087d291eb1edee5440d95"", ""resp_055529f982d66465006aa72f867ffc87d2b662605d69ef42ce"", ""resp_071fd725535c61cd006aa72f88e35487d28ec31bef4413d04f""]",outputs/runs/20260913T231941Z_ABL-F03_full.json
